# Abteilung 502 (AK Interactive) - huiles pour modelisme
#
# COUVERTURE : les 52 tubes de la gamme actuelle, plus les 15 couleurs retirees.
# Les 12 coffrets references AKABT3xx et AKABT1000 sont exclus : ce sont des
# assortiments, pas des couleurs.
#
# DEUX NUMEROTATIONS. AK a renumerote toute sa gamme et publie sa table de conversion
# (ak-masters.com/app/pdf/Conversion_chart_ABT502OIL.pdf). Elle distingue trois cas,
# repris ici tels quels :
#   - 40 equivalences : l'ancienne reference est la nouvelle sans le prefixe AK.
#     ABT004 est devenu AKABT004, meme tube, meme couleur.
#   - 12 couleurs nouvelles, sans equivalent ancien : colonne legacy vide.
#   - 15 couleurs retirees de la gamme : colonne code vide, seule l'ancienne
#     reference existe. Elles sont conservees ici parce qu'on peut encore les avoir
#     sur son etagere.
# La colonne legacy alimente la recherche : taper ABT004 ou AKABT004 ramene le tube.
#
# PROVENANCE : pour la gamme actuelle, noms, references, pigments et opacite releves
# le 15/09/2026 sur les fiches produit du fabricant (ak-interactive.com/
# product-category/paints/oils-for-painting/), qui impriment "Contains pigments: ..."
# et affichent l'opacite en pictogramme titre. 51 tubes sur 52 portent verified=true.
#
# ATTENTION - LES 15 RETIREES SONT DEDUITES : leurs fiches ne sont plus en ligne. Seuls
# la reference et le nom viennent du fabricant, par sa table de conversion ; les
# pigments sont inferes du nom et portent donc verified=false. Ils servent au calcul du
# sechage : corrigez-les d'apres l'etiquette du tube si vous le possedez.
#
# EXCEPTION : Cobalt Blue/Faded Navy Blue (AKABT030) ne declare aucun pigment sur le
# site ; sa composition reste celle de l'ancien fichier, donc verified=false.
#
# HEX : AK ne publie aucune valeur colorimetrique. Le hex conserve est celui de
# l'ancien fichier, retrouve en essayant aussi chaque moitie des noms doubles du type
# "Burnt Umber/Brown Wash". Les autres restent vides et sont derives des pigments.
brand;name;code;legacy;pigments;opacity;hex;verified
Abteilung 502;Prussian Blue;AKABT545;;PB27;SEMI_OPAQUE;#16323C;true
Abteilung 502;Emerald Green;AKABT550;;PG7;SEMI_OPAQUE;;true
Abteilung 502;Permanent Violet;AKABT555;;PV23 PR122;SEMI_OPAQUE;;true
Abteilung 502;Cadmium Red;AKABT560;;PR108;SEMI_OPAQUE;#CE2A22;true
Abteilung 502;Vermilion;AKABT605;;PR4;SEMI_OPAQUE;;true
Abteilung 502;Ochre;AKABT610;;PY41;SEMI_OPAQUE;;true
Abteilung 502;Olive Green;AKABT615;;PY3 PBk7;SEMI_OPAQUE;#4C5B23;true
Abteilung 502;Purple;AKABT620;;PV15;SEMI_OPAQUE;;true
Abteilung 502;Orange;AKABT625;;PO13 PY83;SEMI_OPAQUE;;true
Abteilung 502;Brown Wash;;ABT080;PBr7;SEMI_TRANSPARENT;;false
Abteilung 502;Industrial Earth;;ABT090;PBr7 PBk11;SEMI_OPAQUE;;false
Abteilung 502;Field Grey;;ABT150;PW6 PBk9 PG17;SEMI_OPAQUE;;false
Abteilung 502;Cooper Oxide Blue;;ABT180;PB15 PG7;SEMI_TRANSPARENT;;false
Abteilung 502;Metallic Gold;;ABT200;EFFEKT;OPAQUE;;false
Abteilung 502;Metallic Silver;;ABT205;ALU;OPAQUE;;false
Abteilung 502;Metallic Cooper;;ABT210;EFFEKT;OPAQUE;;false
Abteilung 502;Dark Brick Red;;ABT220;PR101 PBk11;SEMI_OPAQUE;;false
Abteilung 502;Midnight Blue;;ABT225;PB29 PBk9;SEMI_OPAQUE;;false
Abteilung 502;Blue Green;;ABT230;PG7 PB15;SEMI_TRANSPARENT;;false
Abteilung 502;Sand Brown;;ABT245;PY42 PW6 PBr7;SEMI_OPAQUE;;false
Abteilung 502;Oxido Patina;;ABT260;PG7 PW6 PY42;SEMI_OPAQUE;;false
Abteilung 502;Gundam Blue;;ABT500;PB15 PW6;SEMI_OPAQUE;;false
Abteilung 502;Dead Flesh;;ABT520;PW6 PY42 PG17;SEMI_OPAQUE;;false
Abteilung 502;Ghost Grey;;ABT525;PW6 PBk7;SEMI_OPAQUE;;false
