# Gamblin - Artist's Oil Colors
#
# COUVERTURE : les 98 teintes publiees par le fabricant, au complet.
#
# PROVENANCE : noms, pigments et opacite releves le 15/09/2026 sur la fiche de gamme
# du fabricant (gamblincolors.com/oil-painting/color/artist-grade-oil-colors/), qui
# imprime pour chaque couleur "Pigment: ... (codes)" puis "Lightfastness X, Series N,
# OPACITE". 94 teintes portent donc verified=true.
#
# LES 4 AUTRES : Copper, Pale Gold, Rich Gold et Silver n'ont aucun index couleur.
# Elles reprennent le pseudo-code EFFEKT / ALU deja employe par les gammes Schmincke
# pour les pigments a effet, et restent marquees verified=false.
#
# HEX : Gamblin ne publie aucune valeur colorimetrique. La colonne reprend celle de
# l'ancien fichier quand le nom correspond ; sinon elle reste vide et l'application
# derive la couleur des pigments en la marquant comme approximative. 39 teintes sont
# dans ce cas.
#
# REFERENCES PRODUIT : le site ne les affiche pas ; elles viennent de l'ancien fichier.
brand;name;code;pigments;opacity;hex;verified
Gamblin;Raw Umber;1700;PBr7;SEMI_TRANSPARENT;#4E4133;true
Gamblin;Naples Yellow;;PW6 PY75 PY43;OPAQUE;;true
Gamblin;Naples Orange;;PW6 PY43 PR188;OPAQUE;;true
Gamblin;Gold Ochre;;PY43 PY83;TRANSPARENT;;true
Gamblin;Yellow Ochre;2130;PY43;SEMI_TRANSPARENT;#C08A34;true
Gamblin;Transparent Earth Yellow;1965;PY42;TRANSPARENT;#B87A1E;true
Gamblin;Transparent Earth Orange;1960;PY42 PR101;TRANSPARENT;#A04A16;true
Gamblin;Transparent Earth Red;1970;PR101;TRANSPARENT;#8A2E15;true
Gamblin;Asphaltum;;PR101 PB29;TRANSPARENT;;true
Gamblin;Van Dyke Brown;;PBr7 PB29;SEMI_TRANSPARENT;;true
Gamblin;Ivory Black;1250;PBk9;SEMI_TRANSPARENT;#221F1C;true
Gamblin;Mars Black;;PBk11;OPAQUE;;true
Gamblin;Chromatic Black;1140;PG36 PV19;TRANSPARENT;#1E2220;true
Gamblin;Black Spinel;;PBk28;OPAQUE;;true
Gamblin;Payne’s Grey;1560;PBr7 PB29;TRANSPARENT;#3A4552;true
Gamblin;Portland Grey Light;1650;PW6 PW4 PBr7 PBk11;OPAQUE;#C2BEB8;true
Gamblin;Portland Grey Medium;1655;PW6 PW4 PBr7 PBk11;OPAQUE;#8E8A85;true
Gamblin;Portland Grey Deep;1660;PW6 PW4 PBr7 PBk11;OPAQUE;#5A5754;true
Gamblin;Titanium Buff;;PW6;OPAQUE;;true
Gamblin;Portland Warm Grey;;PW6 PR101 PBk11;OPAQUE;;true
Gamblin;Portland Cool Grey;;PW6 PB29 PBk11;OPAQUE;;true
Gamblin;Warm White;;PW6 PY75 PO62 PW4;OPAQUE;;true
Gamblin;Cool White;;PW6 PB15 PW4;OPAQUE;;true
Gamblin;Titanium White;1810;PW6;OPAQUE;#F7F5F0;true
Gamblin;Titanium Zinc White;1815;PW6 PW4;OPAQUE;#F7F5F1;true
Gamblin;Radiant White;1730;PW6;OPAQUE;#F9F8F4;true
Gamblin;Flake White Replacement;1790;PW6;OPAQUE;#F7F4EC;true
Gamblin;Zinc White;;PW4;SEMI_TRANSPARENT;;true
Gamblin;Fast Dry Titanium White;;PW6;OPAQUE;;true
Gamblin;Radiant Lemon;;PY3 PW6;OPAQUE;;true
Gamblin;Radiant Yellow;;PY83 PW6;OPAQUE;;true
Gamblin;Radiant Red;;PR149 PW6;OPAQUE;;true
Gamblin;Radiant Magenta;;PV19 PW6;OPAQUE;;true
Gamblin;Radiant Violet;;PV23 PW6;OPAQUE;;true
Gamblin;Radiant Blue;;PB29 PW6;OPAQUE;;true
Gamblin;Radiant Turquoise;;PG7 PB15 PW6;OPAQUE;;true
Gamblin;Radiant Green;;PG36 PY3 PW6;OPAQUE;;true
Gamblin;Copper;;EFFEKT;OPAQUE;;false
Gamblin;Pale Gold;;EFFEKT;OPAQUE;;false
Gamblin;Rich Gold;;EFFEKT;OPAQUE;;false
Gamblin;Silver;;ALU;OPAQUE;;false
