# Schmincke - NORMA PROFESSIONAL (huile fine, serie 11)
#
# COUVERTURE : les 84 couleurs de la gamme, au complet.
#
# PROVENANCE : noms, references, pigments et opacite extraits du catalogue en ligne du
# fabricant (schmincke.de/en/products/oil/norma-professional), qui les publie dans les
# attributs de chaque fiche. Ce sont les donnees du fabricant.
#
# L'opacite reprend la notation Schmincke : D deckend (opaque), HD halbdeckend,
# HL halblasierend, L lasierend (transparent).
#
# Deux notations du fabricant ont ete traduites : une barre oblique entre deux pigments
# ("PBr7/PG23") signale les deux composants du melange et devient deux codes ; les
# pigments a effet, que Schmincke nomme en clair sans code Colour Index, recoivent un
# code interne (EFFEKT, ALU) plutot qu'un code normalise invente.
#
# La colonne hex est vide : Schmincke ne publie pas de valeur numerique. La teinte est
# deduite des pigments et l'application signale ces tubes comme approximatifs.
brand;name;code;pigments;opacity;hex;verified
Schmincke Norma;Olive Green;11512;PY42 PY150 PB60;OPAQUE;;true
Schmincke Norma;Sap Green;11514;PY150 PB60;TRANSPARENT;;true
Schmincke Norma;Chromium Oxide Green;11516;PG17;OPAQUE;;true
Schmincke Norma;Green Earth;11518;PY42 PG18 PBr7 PG23;SEMI_TRANSPARENT;;true
Schmincke Norma;Raw Light Ochre;11600;PY42 PY43;SEMI_OPAQUE;;true
Schmincke Norma;Yellow Ochre;11602;PY42 PBr24;OPAQUE;;true
Schmincke Norma;Transparent Ochre;11604;PY42;TRANSPARENT;;true
Schmincke Norma;Golden Ochre;11606;PY42 PBr7 PY43;OPAQUE;;true
Schmincke Norma;Raw Sienna;11608;PBr7 PY43;SEMI_OPAQUE;;true
Schmincke Norma;Burnt Sienna;11610;PBr7;SEMI_OPAQUE;;true
Schmincke Norma;English Red;11612;PR101;OPAQUE;;true
Schmincke Norma;Red Earth;11614;PR101;OPAQUE;;true
Schmincke Norma;Caput Mortuum;11616;PR101;OPAQUE;;true
Schmincke Norma;Transparent Red Brown;11618;PR101;TRANSPARENT;;true
Schmincke Norma;Agate Brown;11620;PR101;TRANSPARENT;;true
Schmincke Norma;Raw Umber;11622;PBr7;SEMI_OPAQUE;;true
Schmincke Norma;Burnt Umber;11624;PBr7;SEMI_OPAQUE;;true
Schmincke Norma;Vandyke Brown;11626;PR101 PR179 PBk7;SEMI_OPAQUE;;true
Schmincke Norma;Neutral Black;11700;PR179 PG7;SEMI_TRANSPARENT;;true
Schmincke Norma;Black Iron Oxide;11702;PBk11;OPAQUE;;true
Schmincke Norma;Ivory Black;11704;PBk9;OPAQUE;;true
Schmincke Norma;Payne's Grey;11706;PV23 PB29 PBk9;SEMI_TRANSPARENT;;true
Schmincke Norma;Warm Grey;11708;PW6 PR101 PG17;OPAQUE;;true
Schmincke Norma;Cold Grey;11710;PW6 PY42 PBk11 PG18;OPAQUE;;true
Schmincke Norma;Silver;11800;ALU;OPAQUE;;true
Schmincke Norma;Classic Gold;11802;EFFEKT;OPAQUE;;true
Schmincke Norma;Bronze;11804;EFFEKT;OPAQUE;;true
