# Williamsburg Handmade Oil Colors (Golden Artist Colors)
#
# COUVERTURE : les 180 teintes de la gamme, au complet - series regulieres, safflower
# (prefixe SF), iridescentes et interference comprises.
#
# PROVENANCE : noms, references, pigments et opacite releves le 15/09/2026 dans les
# donnees de la fiche pigments du fabricant (goldenartistcolors.com/products/
# williamsburg-artist-oil-colors/oil-colors/pigment-data), qui publie pour chaque
# couleur la liste complete de ses index couleur. 170 teintes portent verified=true.
#
# LES 10 AUTRES : les iridescentes et les interference sont declarees "N/A" par le
# fabricant, faute d'index couleur. Elles reprennent le pseudo-code EFFEKT / ALU des
# gammes Schmincke et restent marquees verified=false.
#
# HEX : le fabricant ne publie une valeur colorimetrique que pour 34 teintes, reprises
# telles quelles. Pour les autres on garde le hex de l'ancien fichier quand le nom
# correspond, sinon la case reste vide et la couleur est derivee des pigments.
#
# Les nuanciers peints du fabricant n'ont PAS servi a mesurer les teintes : ce sont des
# photographies d'empatements ou le blanc de titane se lit #D7D7D4. Le biais de clarte
# est d'environ 6 points, bien davantage sur les transparentes, et une correction
# d'exposition calee sur les blancs degrade encore le resultat (ecart median a la
# valeur officielle : 8,6 avant, 9,4 apres).
brand;name;code;pigments;opacity;hex;verified
Williamsburg;Alizarin Yellow;6000514;PY83 PY42;TRANSPARENT;;true
Williamsburg;Green Gold;6000518;PY129;SEMI_TRANSPARENT;#667400;true
Williamsburg;Indian Yellow;6000524;PY83;TRANSPARENT;#EE9A14;true
Williamsburg;Alizarin Orange;6000534;PY83 PR177;TRANSPARENT;;true
Williamsburg;Permanent Orange;6000542;PY154 PR112;SEMI_OPAQUE;#F0821A;true
Williamsburg;Cadmium Orange;6000546;PO20 PY35;OPAQUE;#ED4B00;true
Williamsburg;Permanent Red Orange;6000563;PO36;SEMI_OPAQUE;;true
Williamsburg;Montserrat Orange;6000583;PW6 PY154 PO73 PV19;OPAQUE;;true
Williamsburg;Cadmium Red Light;6000587;PR108;OPAQUE;#D9341F;true
Williamsburg;Cadmium Red Vermilion;6000597;PR108;OPAQUE;;true
Williamsburg;Cadmium Red Medium;6000607;PR108;OPAQUE;#B23738;true
Williamsburg;Fanchon Red;6000624;PR112;SEMI_OPAQUE;;true
Williamsburg;Cadmium Red Deep;6000647;PR108;OPAQUE;#B0221F;true
Williamsburg;Cadmium Red Purple;6000657;PR108;OPAQUE;;true
Williamsburg;Cadmium Purple;6000658;PR108;OPAQUE;;true
Williamsburg;Quinacridone Red;6000665;PV19;TRANSPARENT;#B91D14;true
Williamsburg;Alizarin Crimson;6000684;PR83;TRANSPARENT;#8E1B2E;true
Williamsburg;Carl's Crimson;6000685;PR187;TRANSPARENT;;true
Williamsburg;Perylene Crimson;6000686;PR179;TRANSPARENT;;true
Williamsburg;Permanent Crimson;6000687;PR177;TRANSPARENT;#A81830;true
Williamsburg;Manganese Violet;6000704;PV16;SEMI_TRANSPARENT;;true
Williamsburg;Persian Rose;6000713;PW6 PR112 PY154 PV19;OPAQUE;#A85A52;true
Williamsburg;Dianthus Pink;6000724;PW6 PV19;OPAQUE;;true
Williamsburg;Cobalt Violet Light;6000728;PV49;TRANSPARENT;;true
Williamsburg;Provence Violet Reddish;6000734;PW6 PV19;OPAQUE;;true
Williamsburg;Canton Rose;6000744;PW6 PY42 PR254 PR101;OPAQUE;;true
Williamsburg;Cobalt Violet Deep;6000748;PV14;SEMI_TRANSPARENT;;true
Williamsburg;Provence Violet Bluish;6000754;PW6 PV23;OPAQUE;#5A4A8C;true
Williamsburg;Ultramarine Violet;6000764;PV15;TRANSPARENT;#4B4069;true
Williamsburg;Ultramarine Pink;6000774;PV15;TRANSPARENT;;true
Williamsburg;Quinacridone Magenta;6000775;PR122;TRANSPARENT;#870412;true
Williamsburg;Quinacridone Violet;6000785;PV19;TRANSPARENT;#87001D;true
Williamsburg;Cobalt Teal Greenish;6000786;PG50;OPAQUE;;true
Williamsburg;Egyptian Violet;6000805;PV23;SEMI_TRANSPARENT;;true
Williamsburg;King's Blue;6000813;PW6 PB29 PB15;OPAQUE;;true
Williamsburg;Cobalt Teal Bluish;6000817;PG50;OPAQUE;;true
Williamsburg;Sevres Blue;6000823;PW6 PB15;OPAQUE;;true
Williamsburg;Cerulean Blue (Genuine);6000848;PB35;OPAQUE;;true
