# Winsor & Newton - Artists' Oil Colour
#
# COUVERTURE : 130 teintes sur les 137 que publie le fabricant.
#
# PROVENANCE : noms, numeros de couleur, pigments et opacite releves le 15/09/2026
# dans le tableau "Specifications" des fiches produit du fabricant
# (winsornewton.com/collections/artists-oil), qui imprime pour chaque teinte SKU,
# Colour Number, Opacity, Series et Pigment Code. 113 teintes portent verified=true.
#
# NON PUBLIE : 24 teintes n'affichent aucun code pigment - toute la ligne Cadmium-Free
# (formule protegee) et les metalliques. Les metalliques prennent le pseudo-code
# EFFEKT / ALU ; les autres gardent la composition de l'ancien fichier. Toutes sont
# marquees verified=false.
#
# ABSENTES : Transparent Orange, Rose Dore, Cinnabar Green, Mineral Grey,
# Ultramarine Ash, Warm White et Royal Blue. Ni le fabricant ni l'ancien fichier ne
# donnent leur composition, et le chargeur exige au moins un pigment par ligne. Elles
# etaient deja absentes du catalogue precedent. A saisir a la main si vous les possedez.
#
# HEX : W&N ne publie aucune valeur colorimetrique. La colonne reprend celle de
# l'ancien fichier quand le nom correspond, sinon la couleur est derivee des pigments.
brand;name;code;pigments;opacity;hex;verified
Winsor & Newton;Manganese Blue Hue;379;PB15 PG7;TRANSPARENT;#1099D6;true
Winsor & Newton;Phthalo Turquoise;526;PB15 PG7;TRANSPARENT;#0D5A6B;true
Winsor & Newton;Cobalt Turquoise;190;PB36;OPAQUE;#1E7A8C;true
Winsor & Newton;Cobalt Turquoise Light;191;PG50;OPAQUE;#00B1A9;true
Winsor & Newton;Cobalt Green;184;PG26 PG50;SEMI_OPAQUE;#2E8A6B;true
Winsor & Newton;Mineral Green Deep;412;PG26;OPAQUE;;true
Winsor & Newton;Cobalt Chromite Green;183;PG26;OPAQUE;#90B89A;true
Winsor & Newton;Chrome Green Deep Hue;147;PB15 PG7 PY42;OPAQUE;#20763B;true
Winsor & Newton;Viridian;692;PG18;TRANSPARENT;#0F6B54;true
Winsor & Newton;Winsor Green (Phthalo);720;PG7;TRANSPARENT;;true
Winsor & Newton;Winsor Green (Yellow shade);721;PG36;TRANSPARENT;#0F5E3A;true
Winsor & Newton;Permanent Green Deep;482;PG7 PW6 PY138;SEMI_TRANSPARENT;#238C44;true
Winsor & Newton;Permanent Green;481;PG7 PW6 PY138;SEMI_TRANSPARENT;#369244;true
Winsor & Newton;Winsor Emerald;708;PG36 PW5;OPAQUE;#2FA170;true
Winsor & Newton;Permanent Green Light;483;PG7 PW6 PY74;SEMI_TRANSPARENT;#369244;true
Winsor & Newton;Terre Verte;637;PG23;TRANSPARENT;#6B7A5A;true
Winsor & Newton;Oxide of Chromium;459;PG17;OPAQUE;#4A6B42;true
Winsor & Newton;Prussian Green;540;PB15 PY110;TRANSPARENT;#0E6C37;true
Winsor & Newton;Sap Green;599;PB15 PY110;TRANSPARENT;#236533;true
Winsor & Newton;Cadmium Green Pale;84;PG18 PY35;OPAQUE;#98CB4F;true
Winsor & Newton;Cadmium-Free Green Pale;897;PY139 PG7;OPAQUE;#98CB4F;false
Winsor & Newton;Olive Green;447;PBk6 PY110;TRANSPARENT;#4C5B23;true
Winsor & Newton;Naples Yellow Light;426;PO62 PW6 PY138;OPAQUE;#FCF0A7;true
Winsor & Newton;Naples Yellow;422;PBr24 PW5 PY42;OPAQUE;#E9CE8E;true
Winsor & Newton;Jaune Brillant;333;PR188 PW6 PY138 PY42;OPAQUE;#F6CF3E;true
Winsor & Newton;Naples Yellow Deep;425;PBr24;OPAQUE;#DCA754;true
Winsor & Newton;Yellow Ochre Light;745;PY43;SEMI_TRANSPARENT;#C7962C;true
Winsor & Newton;Yellow Ochre Pale;746;PY42;OPAQUE;#D2A254;true
Winsor & Newton;Indian Yellow Deep;320;PY150;TRANSPARENT;#FED103;true
Winsor & Newton;Gold Ochre;285;PY42;OPAQUE;#BC8434;true
Winsor & Newton;Yellow Ochre;744;PY43;SEMI_TRANSPARENT;#C08A34;true
Winsor & Newton;Raw Umber Light;557;PBr7;SEMI_TRANSPARENT;#BF972D;true
Winsor & Newton;Raw Sienna;552;PY42 PY43;SEMI_TRANSPARENT;#9A6B32;true
